job_id,month,standard_job,job_title,job_responsibility,job_requirement,skills
GEN000001,2024-12,大模型算法工程师,大模型算法工程师/专家-财经,"1、通过LLM的continue pre-train、SFT、奖励/偏好建模（生成式奖励、RLAIF/RLHF等）、端到端强化学习等方法，解决大模型在金融场景的领域知识注入、推理与决策、生成幻觉、指令遵循、个性化回复等问题；
2、通过Multi Agent框架和推理加速技术的探索，解决实时对话中Function Call、历史对话记忆、在线推理延迟、ReAct、Context管理、RAG等问题；
3、通过端到端文本生成、端到端语音生成、ASR、TTS等模型的研究，解决金融场景实时语音对话的问题；
4、通过NL2SQL、代码生成、金融数据理解等探索解决金融场景的数据和市场智能分析。","1、扎实的深度学习/NLP/RL基础，具备切实可行的创新思路且动手能力强，出色的独立分析和解决问题的能力，能够深入定位并系统性解决大模型优化中的关键问题（数据、训练、推理、评测或线上链路）；
2、在LLM/Agent/多模态有扎实积累，在NeurIPS/ICML/ICLR/ACL/EMNLP等会议发表过相关高质量论文，主导过相关且有影响力的项目者优先；
3、优秀的代码能力（熟练Python/C++），在ACM/ICPC、NOI/IOI、Top Coder、Kaggle等比赛获奖者优先；
4、对AI的实际效用和突破性应用充满热情，敢于挑战未知问题，良好的自驱力和沟通协作能力，并愿意把前沿研究转化为可验证、可上线、可规模化的能力；
5、优秀的产品和业务感知能力，责任心强，积极主动，有良好的沟通能力和团队合作能力，能够完成有挑战的目标。",VAE; RL; ICML; 路网算法; 强化训练; 高效训练; 文本分类; 任务分解; Tableau
GEN000002,2024-12,大模型算法工程师,大模型/多模态算法工程师（J98569）,#NAME?,"-计算机相关专业，硕士及以上学历，具备良好的数学及深度学习基础
-熟练使用pytorch/paddle等主流深度学习框架，熟悉transformer
-熟练掌握主流的大模型算法，有大模型/多模态相关训练、精调、强化学习等经验优先；发表过ACL、CVPR、ICLR等国际会议论文的加分
-具备强烈的进取心、自驱力以及团队合作精神，具备良好的逻辑思维和问题分析能力
补充要求：具备ICML、相机、路网算法相关实践经验者优先。",ICML; 相机; 路网算法; 计算机视觉; 强化训练; Reasoning; SAM
GEN000003,2025-01,大模型算法工程师,企业微信-大模型算法工程师-Agent应用（广州/北京）,"1.负责构建具备自主决策、协作与工具调用能力的多智能体系统（Multi-Agent System），推动大模型从“对话式AI”向“任务执行体”演进，解决复杂场景下的自动化问题；
2.深入研究并应用LLM的复杂推理技术（如思维链CoT、思维树ToT），攻克开放式、复杂问题的深度研究模式，赋予Agent独立探索与解决问题的能力；
3.运用指令微调、强化学习等方法，提升大模型规划、推理与遵循指令的能力，从而提升模型知识边界探索和抗干扰的能力。","1.计算机、机器学习等相关专业，硕士及以上学历，具备良好的计算机基础和算法基础；
2.对大模型和Agent有较深入的理解，了解AgentArchitectures/Structures（Multi-Agent、ContextEngineering/Management、ReAct/PlanAct/CodeAct），了解Agent模式、上下文管理等技术，熟悉常见的LLM实施模式、提示工程、评估框架、代理框架和检索框架等；
3.熟悉模型的Post-training训练技术，能针对特定模型能力问题进行SFT、RL训练优化；
4.在ACL、EMNLP、NeurIPS等顶尖会议等发表过文章或机器学习优秀开源项目贡献者优先；
5.该岗位支持base 成都、广州、北京。",数据合成; 短视频推荐; 多模态算法; Query理解; 多目标学习; RAGAS; 分发算法
GEN000004,2025-02,大模型算法工程师,金融科技-多模态大模型算法工程师,"1.负责VLM在GUI智能体场景下的全流程优化，包括多模态数据Pipeline构建、GUI-Sandbox仿真环境搭建、模型后训练（Post-training）等；
2.深入GUI交互与多模态理解方向，进行模型调优与技术创新，覆盖视觉定位、界面元素理解、跨模态工具调用等；
3.跟踪多模态大模型与具身智能领域的技术动态，评估其在GUI自动化、智能助手等场景的应用潜力；
4.参与多模态系统架构设计，确保系统的高性能、可扩展性与稳定性。
补充职责：结合业务场景推进ICML、算法改进、量化相关能力建设与落地。","1.熟练掌握PyTorch、Swift、VeRL等一种或多种深度学习框架，具备多模态模型（如VLM）开发与调优经验；
2.熟悉多模态大模型训练技术，包括增量预训练（CPT）、有监督微调（SFT）、强化学习（RL）等，具备分布式训练实践经验；
3.熟悉RLVR（可验证奖励强化学习）流程，有多模态任务强化学习项目经验者优先；
4.具备计算机视觉、自然语言处理或多模态学习相关项目经验，熟悉常见VLM架构与评测基准；
5.计算机科学、人工智能、机器学习等相关专业硕士及以上学历，或在CVPR、ECCV、NeurIPS、ICML等多模态/视觉相关顶会发表论文者优先。",ICML; 算法改进; 量化; Query理解; 文案生成; Blender; FAISS; 质量评估
GEN000005,2025-03,大模型算法工程师,AI搜索Agent算法实习生-Seed大模型人才实习,"团队介绍：字节跳动 Seed 团队成立于 2023 年，致力于寻找通用智能的新方法，追求智能上限，为科技和社会发展作出贡献。
Seed 团队在 AI 领域拥有长期愿景与决心，团队研究方向涵盖 MLLM、GenMedia、AI for Science、机器人等，在中国、新加坡、美国等地设有实验室和岗位。目前，团队已推出业界领先的通用大模型以及前沿的多模态能力，支持豆包、即梦、TRAE 等超过 50 个应用场景，并通过火山引擎开放给企业客户。第三方数据显示，豆包 App 用户量在中国市场排名第一，豆包大模型日均 Token 调用量行业领先。
1、下一代搜索问答Agent构建
1）设计基于LLM的端到端智能问答系统，覆盖意图理解、查询改写、检索增强、多源信息融合与高质量答案生成；
2）探索Deep Research能力，解决复杂问题、多轮对话与跨文档推理场景；
2、模型能力演进与前沿探索
1）推动Reasoning能力落地（CoT/多步推理/自我反思与验证），提升复杂问题求解能力；
2）探索RL Scaling、多目标优化等前沿方向，持续提升模型智能上限；
3）构建Agentic能力，打造具备自主决策能力的智能系统；
3、高价值场景落地如电商/本地生活等
1）打造从“信息获取→理解→决策”的一体化体验（如商品对比、导购推荐、生活服务决策）；
2）融合结构化数据与实时信息，实现多模态、多源知识协同推理；
4、评测体系与工程闭环建设
1）构建覆盖真实性、时效性、权威性、相关性与用户体验的评测体系；
2）打通数据-模型-系统优化闭环，持续提升效果与工程效率。
补充职责：结合业务场景推进模型蒸馏、ICML、LightGBM相关能力建设与落地。","1、2028届及以后本科及以上学历在读，计算机、电子信息、软件工程、人工智能、数学等相关专业优先；
2、熟悉PyTorch/TensorFlow等框架，对大规模语言模型（如GPT、LLaMA等）训练与优化经验；
3、熟悉检索增强生成（RAG）、Agent架构、搜索算法（如倒排索引、语义检索）等技术或熟悉Prompt Engineering、微调对齐技术，对搜索场景的Query理解与结果生成有深入理解；
4、熟悉Search Agent任务，包括RL数据/训练策略优化，Reward Model设计、工具调用、Reasoning能力优化等；
5、加分项：在ACL/EMNLP/NeurIPS等顶会发表LLM或搜索相关论文；有开源项目（如LangChain、AutoGPT）贡献或独立AI Agent开发经验；熟悉多模态模型（如GPT-4V）或强化学习者优先。
补充要求：具备模型蒸馏、ICML、LightGBM相关实践经验者优先。",模型蒸馏; ICML; LightGBM; 短视频推荐; Go; Tableau; 建模
GEN000006,2025-04,大模型算法工程师,多模态大模型算法实习生（Keye）-【可灵AI专项】,"1、依托可灵生态，构建最具影响力的多模态理解基座模型和开源生态；
2、参与多模态大模型架构探索，包括但不限于万亿级参数多模态MoE模型的训练、多模态信息编码方案设计、探索更高效的图文/视频/音频等编码方式、多模态表征学习和语义对齐策略的探索、超长上下文模型开发等；
3、参与高质量训练数据构建，包括从但不限于大规模混合模态预训练数据构建（探索多模态Scaling）、高质量多模态语义对齐数据合成、探索模型自我迭代提升路径、感知能力专家模型研发（包括OCR、Caption、Grounding等）；
4、协助研发理解与生成统一大模型的基础架构，涵盖多模态输入和输出在内的建模，实现模型在理解与生成任务上的协同优化效果。","1、计算机科学与技术、人工智能等相关专业的硕士或博士学历，有计算机多模态/NLP/CV相关实习经验，有较强的coding能力优先；
2、热衷于通用大模型及新兴技术领域，具备独立开发尖端模型的能力，且拥有在NLP、CV、ML顶尖会议或期刊上发表研究成果的经历者将获得优先考虑；
3、有良好的数学和编程基础，熟悉至少一种深度学习框架（如 TensorFlow、PyTorch）；
4、具备良好的沟通能力和团队合作精神。",LLM; CLIP; LightGBM; H.265; Reasoning; Long Context
GEN000007,2025-04,大模型算法工程师,业务技术-大模型算法专家-急招,"你可以获得：
• 参与前沿AI技术研发，引领行业技术发展
• 与顶尖技术团队协作，攻克技术难题
• 技术成果直接服务海量用户，创造实际价值
• 完整的技术成长路径和职业发展机会
1. AI应用系统构建
• 设计和构建基于大模型的AI应用系统，包括智能客服、代码助手、AI运维等产品
• 运用指令微调（SFT）、强化学习（RLHF/DPO）等技术优化模型在特定场景的表现
• 构建完整的AI应用架构，涵盖数据处理、模型部署、用户交互等全链路
2. Agent智能体开发
• 设计和实现智能Agent系统，具备任务规划、工具调用、多轮交互等核心能力
• 构建多Agent协同框架，实现智能体间的分工协作和知识共享
• 探索Agent在复杂业务场景中的应用模式，如自动化运维、智能分析等
3. 业务场景优化
• 深入理解业务需求，将AI技术与实际场景深度结合，提升用户体验
• 优化AI应用在多轮对话、知识问答、决策支持等场景的效果和效率
• 与产品和工程团队协作，推动AI应用从原型到生产的完整落地","1. 学历背景
• 计算机科学、人工智能、数学、电子工程等相关专业硕士及以上学历
2. 技术能力
• 精通深度学习和机器学习基础理论，熟悉Transformer架构及LLM原理
• 熟练掌握PyTorch/TensorFlow等深度学习框架
• 精通Python编程，熟悉Java/C++中至少一门语言
• 具备分布式训练、大规模数据处理等工程能力
3. 经验要求
• 2 年以上大模型相关算法研发经验
• 有SFT、强化学习等后训练技术实践经验
• 具备将AI技术在实际业务场景落地的工程经验
加分项
1、在NLP、CV、多模态等领域国际顶会（ICLR、NeurIPS、ICML、ACL等）发表论文
2、主导过知名开源项目或有重要贡献，参加过ACM/ICPC等算法竞赛获奖
3、有智能客服、对话系统、代码生成、企业智能助手 等相关业务经验
4、熟悉RAG、Agent、多模态理解等应用技术
5、优秀的问题分析和解决能力、良好的沟通协作能力和团队合作精神
6、强烈的技术热情和自驱力、对AI技术发展趋势有深入洞察
补充要求：具备H.265、算法改进、Long Context相关实践经验者优先。",H.265; 算法改进; Long Context; 大规模模型训练; 推荐引擎
GEN000008,2025-05,大模型算法工程师,微信视频号-推荐大模型算法工程师-短剧垂类,"1.负责视频号短剧业务的建设与优化，如短剧推荐的算法迭代；
2.负责策略、混排、精排、粗排、召回等链路优化；
3.通过数据分析追踪效果，推动整体效果的优化。","1.本科及以上学历，硕士、博士优先，2年以上相关工作经验；
2.有视频流推荐和广告相关经验优先；
3.深入掌握机器学习、深度学习算法及原理；
4.优秀的从原理源头分析问题、解决问题能力和团队合作意识；
5.工作积极性强、沟通能力好。
补充要求：具备数据合成、LightGBM、风控算法相关实践经验者优先。",数据合成; LightGBM; 风控算法; 大模型微调; Harness; FAISS; 监督学习
GEN000009,2025-05,大模型算法工程师,【北斗】广告大模型应用算法工程师-【多国多语言LLM-based 推搜广告】,"【愿景】
随着美团业务向多个海外市场拓展，推荐与搜索系统面临多国家、多语言场景下的核心技术挑战：一方面，不同语言的语义理解差异、跨语言迁移能力不足、低资源语言数据稀缺等问题制约了搜索相关性体验；另一方面，各国市场用户行为模式、文化偏好、消费习惯差异显著，传统推荐系统难以在多国场景下实现统一建模与高效迁移。本岗位致力在打造面向多国多语言场景的推荐搜索一体化解决方案，融合多语言语义理解与大语言模型（LLM）能力，构建具备跨国泛化能力的推荐搜索系统，全面提升境外业务的用户体验与转化效率。
【你将参与】
方向一：多国多语言搜索相关性
1.多语言语义表征建模：基于多语言预训练模型（如mBERT、XLM-R等），结合本地化业务数据，构建适配多国语言的搜索相关性表征模型，提升跨语言语义对齐能力。
2.低资源语言相关性增强：针对数据稀缺的小语种市场，探索数据增强、跨语言迁移学习、零/少样本学习等技术，提升低资源语言下的相关性判断能力。
3.多国统一相关性评估体系：设计面向多国多语言场景的相关性评估框架，结合人工标注与模型自动评估，构建可扩展的多语言相关性基准。
方向二：LLM-based 多国家统一推荐
1.LLM驱动的跨国用户意图理解：基于多语言LLM，对不同国家用户的行为序列与搜索意图进行统一建模，提升跨国场景下的用户偏好理解能力。
2.多国统一推荐基座模型：探索以LLM为基座，通过多国数据联合训练与国家/文化特征注入，构建可快速适配各国市场的统一推荐模型，降低多国分治的维护成本。
3.跨国冷启动与迁移学习：针对新兴市场数据稀缺问题，研究基于LLM的跨国知识迁移与冷启动方案，提升新市场推荐效果的快速收敛能力。","【任职资格】
必要条件：
2027届本科及以上学历，计算机、人工智能等相关专业，且以下条件至少满足一项：
1.在NLP、IR、RecSys等方向的顶级会议（ACL、EMNLP、SIGIR、KDD、WWW、NeurIPS等）以第一作者身份发表论文（或导师一作，自己为二作）。
2.在Kaggle、ACM-ICPC等顶级大赛上获奖。
3.有大厂实验室的实习经验，或有贡献突出的开源项目。
加分项：
1.有多语言NLP、跨语言迁移学习相关研究经验；熟悉LLM微调、RLHF等技术；有推荐系统或搜索引擎相关项目经验。
【为什么是我们】
1.多国多地区真实业务场景：覆盖中国香港、沙特、阿联酋、巴西等多国市场，直面全球化技术挑战。
2.前沿技术深度探索：LLM+推搜广告系统前沿课题，推动下一代生成式推搜范式。
3.丰富数据与算力支持：多国多语言真实数据，充裕GPU算力资源。
4.顶级团队带教：可合作发表顶会论文。",LLM; RL; 深度学习框架; ACM算法; 图像生成模型; FAISS; AgentBench
GEN000010,2025-06,大模型算法工程师,微信-大模型(GUI Agent)算法研究员,"1.面向微信复杂场景的GUI Agent研究，提升Agent在未见场景下的泛化能力；
2.利用强化学习提升Agent在长程任务的规划能力，提升模型的反思能力与探索能力；
3.在复杂任务与复杂场景下，构建训练数据与训练环境，实践海量数据的高效训练。","1.计算机方向硕士或博士学位，2年以上AI Agent领域实践经验；
2.熟练运用主流大模型后训练技术，具备丰富的模型微调及强化学习的实践经验；
3.拥有较为丰富的Agentic RL实战经验，基于复杂环境GUI Agent的强化训练中有实战经验者优先；
4.热爱并持续关注AI前沿技术，并能够在生产环境中推动至明确的落地方案。",数据合成; 文本分类; Long CoT; Query理解; Harness
