standard_job,standard_category,month,month_index,monthly_jd_count,cumulative_jd_count,demand_trend_type,is_active_month
大模型算法工程师,AI算法,2024-12,1,2,2,持续上升,yes
大模型算法工程师,AI算法,2025-01,2,1,3,持续上升,yes
大模型算法工程师,AI算法,2025-02,3,1,4,持续上升,yes
大模型算法工程师,AI算法,2025-03,4,1,5,持续上升,yes
大模型算法工程师,AI算法,2025-04,5,2,7,持续上升,yes
大模型算法工程师,AI算法,2025-05,6,2,9,持续上升,yes
大模型算法工程师,AI算法,2025-06,7,2,11,持续上升,yes
大模型算法工程师,AI算法,2025-07,8,2,13,持续上升,yes
大模型算法工程师,AI算法,2025-08,9,2,15,持续上升,yes
大模型算法工程师,AI算法,2025-09,10,2,17,持续上升,yes
大模型算法工程师,AI算法,2025-10,11,3,20,持续上升,yes
大模型算法工程师,AI算法,2025-11,12,3,23,持续上升,yes
大模型算法工程师,AI算法,2025-12,13,3,26,持续上升,yes
大模型算法工程师,AI算法,2026-01,14,3,29,持续上升,yes
大模型算法工程师,AI算法,2026-02,15,3,32,持续上升,yes
大模型算法工程师,AI算法,2026-03,16,3,35,持续上升,yes
大模型算法工程师,AI算法,2026-04,17,3,38,持续上升,yes
大模型算法工程师,AI算法,2026-05,18,4,42,持续上升,yes
大模型算法工程师,AI算法,2026-06,19,4,46,持续上升,yes
大模型算法工程师,AI算法,2026-07,20,4,50,持续上升,yes
大模型应用工程师,AI应用,2024-12,1,2,2,稳定波动,yes
大模型应用工程师,AI应用,2025-01,2,4,6,稳定波动,yes
大模型应用工程师,AI应用,2025-02,3,3,9,稳定波动,yes
大模型应用工程师,AI应用,2025-03,4,3,12,稳定波动,yes
大模型应用工程师,AI应用,2025-04,5,2,14,稳定波动,yes
大模型应用工程师,AI应用,2025-05,6,2,16,稳定波动,yes
大模型应用工程师,AI应用,2025-06,7,3,19,稳定波动,yes
大模型应用工程师,AI应用,2025-07,8,3,22,稳定波动,yes
大模型应用工程师,AI应用,2025-08,9,3,25,稳定波动,yes
大模型应用工程师,AI应用,2025-09,10,3,28,稳定波动,yes
大模型应用工程师,AI应用,2025-10,11,3,31,稳定波动,yes
